"LocationId","Name","OrganizationRef","City","State"
"81c75a54-2b95-3fdf-9327-b74df8630869","Fitchburg Outpatient Clinic",,"Fitchburg","MA"
"07aec8d6-287d-30ac-81a8-752782163466","NURSE ON CALL",,"SHREWSBURY","MA"
"a61711be-e3c2-30b5-a3df-db42249f0e27","CAREWELL URGENT CARE CENTERS OF MA, PC",,"WORCESTER","MA"
"79eb760e-d3a4-3d2e-b487-bc46f62af19d","BERKSHIRE FAMILY PRACTICE ASSOCIATES PC",,"PITTSFIELD","MA"
"a98309fe-6acd-30f8-81e8-a4a947138296","CAMBRIDGE PUBLIC HEALTH COMMISSION",,"SOMERVILLE","MA"
"61728ca7-d723-3602-a9b5-e6efddc42982","GREEN MOUNTAIN URGENT CARE LLC",,"NORTH ADAMS","MA"
"6e22abbe-b3a1-39a8-a429-9957b3244188","CAPE COD HEALTHCARE PHYSICIANS",,"SOUTH YARMOUTH","MA"
"9a277a7c-edef-39ed-a619-58dc818c416d","CAMBRIDGE REHABILITATION & NURSING CENTER",,"CAMBRIDGE","MA"
"576d472f-8972-352f-ad63-027e07f892ae","MEDICAL EXPRESS URGENT CARE CENTER CO INC",,"SPRINGFIELD","MA"
"ccea3021-9716-3218-a8cb-7a701fe63b44","CHICOPEE REHABILITATION AND NURSING CENTER LLC",,"CHICOPEE","MA"
"47a2789d-e285-3254-8365-34149cfbc8d1","SUNRISE HEALTHCARE LLC",,"SHREWSBURY","MA"
"92b97a14-2913-30e3-99ba-39c987e4a9f6","CAPE COD HOSPITAL INC",,"HYANNIS","MA"
"d9dd2699-ec1b-3b77-8b83-33d437131ded","BERKSHIRE MEDICAL CENTER INC - 1",,"PITTSFIELD","MA"
"e8ec5d21-a9c6-3c2f-b625-8339be252ee5","UNIVERSITY OF MA MED CTR-ESRD",,"WORCESTER","MA"
"00bf87a2-f745-3f3f-93e0-3ba5ff32c1e6","THE SHRINERS HOSPITAL FOR CHILDREN",,"SPRINGFIELD","MA"
"a3d9fbb2-8e79-3105-8bf0-ccd519a97ca2","RIVER'S EDGE PRIMARY CARE LLC",,"CHICOPEE","MA"
"34d300db-86bd-3ca9-9a41-bf7ac5895e52","UMASS MEMORIAL MEDICAL CENTER INC",,"WORCESTER","MA"
"1a3e0e85-0de4-360b-981c-53434f0c0a0e","WINDSOR NURSING & RETIREMENT HOME",,"SOUTH YARMOUTH","MA"
"81cd6838-00bc-3e63-a2fc-4a35d4a3616a","VISITING NURSE ASSOCIATION OF CAPE COD, INC.",,"HYANNIS","MA"
"16162e2e-393c-3162-8e09-a84a60d825c4","WHITLEY WELLNESS LLC",,"CHARLESTOWN","MA"
"0e7ef1bc-f665-333b-9ca3-8c058b6091f1","CRANEVILLE PLACE REHABILITATION & SKILLED  CARE CT",,"DALTON","MA"
"edc0a1c1-a380-33d9-8e08-549bc0e3bcf1","CAPE COD PRIMARY CARE LLC",,"YARMOUTH PORT","MA"
"08d8f34c-aba8-35ca-9cbd-e1f921b0a198","EXCEL HOME CARE SERVICES INC",,"WILBRAHAM","MA"
"babb5508-b5dd-3973-8aca-e80876d2ab06","SOUTH SHORE PRIMARY AND URGENT CARE LLC",,"HANOVER","MA"
"bb1ad573-19b8-9cd8-68fb-0e6f684df992",,,,
